channel_name,message_id,image_path,detected_class,confidence_score,image_category
CheMed123,33,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\33.jpg,orange,0.5761,other
CheMed123,33,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\33.jpg,book,0.2716,other
CheMed123,34,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\34.jpg,none,0.0,other
CheMed123,38,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\38.jpg,none,0.0,other
CheMed123,39,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\39.jpg,mouse,0.9114,other
CheMed123,39,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\39.jpg,mouse,0.9019,other
CheMed123,39,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\39.jpg,mouse,0.893,other
CheMed123,39,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\39.jpg,mouse,0.6238,other
CheMed123,39,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\39.jpg,mouse,0.594,other
CheMed123,39,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\39.jpg,mouse,0.5547,other
CheMed123,39,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\39.jpg,mouse,0.5261,other
CheMed123,39,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\39.jpg,mouse,0.4145,other
CheMed123,40,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\40.jpg,person,0.7191,lifestyle
CheMed123,40,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\40.jpg,person,0.6744,lifestyle
CheMed123,40,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\40.jpg,person,0.6338,lifestyle
CheMed123,40,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\40.jpg,person,0.5978,lifestyle
CheMed123,40,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\40.jpg,person,0.5868,lifestyle
CheMed123,40,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\40.jpg,person,0.5126,lifestyle
CheMed123,40,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\40.jpg,person,0.4521,lifestyle
CheMed123,40,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\40.jpg,person,0.437,lifestyle
CheMed123,40,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\40.jpg,person,0.3316,lifestyle
CheMed123,40,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\40.jpg,person,0.3313,lifestyle
CheMed123,41,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\41.jpg,person,0.421,lifestyle
CheMed123,43,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\43.jpg,person,0.8565,lifestyle
CheMed123,43,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\43.jpg,chair,0.2936,lifestyle
CheMed123,44,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\44.jpg,cell phone,0.9387,lifestyle
CheMed123,44,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\44.jpg,person,0.848,lifestyle
CheMed123,45,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\45.jpg,scissors,0.632,other
CheMed123,46,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\46.jpg,person,0.8272,lifestyle
CheMed123,46,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\46.jpg,person,0.4749,lifestyle
CheMed123,46,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\46.jpg,tv,0.3886,lifestyle
CheMed123,48,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\48.jpg,none,0.0,other
CheMed123,49,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\49.jpg,kite,0.6802,other
CheMed123,49,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\49.jpg,kite,0.4033,other
CheMed123,49,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\49.jpg,kite,0.3449,other
CheMed123,49,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\49.jpg,frisbee,0.3252,other
CheMed123,50,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\50.jpg,cake,0.2916,other
CheMed123,52,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\52.jpg,person,0.7039,lifestyle
CheMed123,52,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\52.jpg,person,0.6461,lifestyle
CheMed123,52,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\52.jpg,horse,0.6253,lifestyle
CheMed123,52,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\52.jpg,person,0.5131,lifestyle
CheMed123,52,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\52.jpg,person,0.431,lifestyle
CheMed123,52,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\52.jpg,person,0.3348,lifestyle
CheMed123,53,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\53.jpg,person,0.5738,lifestyle
CheMed123,55,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\55.jpg,stop sign,0.3071,other
CheMed123,56,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\56.jpg,person,0.833,lifestyle
CheMed123,58,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\58.jpg,bottle,0.4115,product_display
CheMed123,59,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\59.jpg,bottle,0.2866,product_display
CheMed123,60,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\60.jpg,none,0.0,other
CheMed123,64,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\64.jpg,person,0.6865,lifestyle
CheMed123,64,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\64.jpg,person,0.4402,lifestyle
CheMed123,64,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\64.jpg,banana,0.2809,lifestyle
CheMed123,64,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\64.jpg,remote,0.2562,lifestyle
CheMed123,67,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\67.jpg,stop sign,0.5792,other
CheMed123,67,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\67.jpg,book,0.2842,other
CheMed123,70,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\70.jpg,potted plant,0.9247,lifestyle
CheMed123,70,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\70.jpg,person,0.8443,lifestyle
